,Tweets,Case_Folding,Data_Cleaning,Tokenize,Normalization,Stopwords,Stemming,Label,
394,b'RT @DivHumas_Polri: 21 Bentuk Kekerasan Seksual Yang Dilarang\n\nKemendikbud Ristek resmi mengesahkan Permendikbud Nomor 30 Tahun 2021 tentan\xe2\x80\xa6',b'rt @divhumas_polri: 21 bentuk kekerasan seksual yang dilarang\n\nkemendikbud ristek resmi mengesahkan permendikbud nomor 30 tahun 2021 tentan\xe2\x80\xa6', bentuk kekerasan seksual yang dilarang nkemendikbud ristek resmi mengesahkan permendikbud nomor tahun tentan  xa,"['bentuk', 'kekerasan', 'seksual', 'yang', 'dilarang', 'nkemendikbud', 'ristek', 'resmi', 'mengesahkan', 'permendikbud', 'nomor', 'tahun', 'tentan', 'xa']","['bentuk', 'kekerasan', 'seksual', 'yang', 'dilarang', 'nkemendikbud', 'ristek', 'resmi', 'mengesahkan', 'permendikbud', 'nomor', 'tahun', 'tentan', 'xa']",bentuk kekerasan seksual dilarang nkemendikbud ristek resmi mengesahkan permendikbud nomor tentan,bentuk keras seksual larang nkemendikbud ristek resmi kesah permendikbud nomor tentan,1,
1101,"b'RT @Jaring_UburUbur: @bertanyarl berarti selama ini bnyk yg ngalamin tpi gamau speak up krn ngerasa gada payung untuk mereka, bayangin bati\xe2\x80\xa6'","b'rt @jaring_uburubur: @bertanyarl berarti selama ini bnyk yg ngalamin tpi gamau speak up krn ngerasa gada payung untuk mereka, bayangin bati\xe2\x80\xa6'", berarti selama ini bnyk yg ngalamin tpi gamau speak up krn ngerasa gada payung untuk mereka bayangin bati  xa,"['berarti', 'selama', 'ini', 'bnyk', 'yg', 'ngalamin', 'tpi', 'gamau', 'speak', 'up', 'krn', 'ngerasa', 'gada', 'payung', 'untuk', 'mereka', 'bayangin', 'bati', 'xa']","['berarti', 'selama', 'ini', 'bnyk', 'yg', 'ngalamin', 'tpi', 'gamau', 'speak', 'up', 'krn', 'ngerasa', 'gada', 'payung', 'untuk', 'mereka', 'bayangin', 'bati', 'xa']",bnyk yg ngalamin tpi gamau speak up krn ngerasa gada payung bayangin bati,bnyk yg ngalamin tpi gamau speak up krn ngerasa gada payung bayangin bati,1,
5382,b'RT @eradotid: Berikut 21 bentuk kekerasan seksual yang diatur dalam Permendikbud Nomor 30 Tahun 2021 tentang PPKS di lingkungan kampus: htt\xe2\x80\xa6',b'rt @eradotid: berikut 21 bentuk kekerasan seksual yang diatur dalam permendikbud nomor 30 tahun 2021 tentang ppks di lingkungan kampus: htt\xe2\x80\xa6', berikut bentuk kekerasan seksual yang diatur dalam permendikbud nomor tahun tentang ppks di lingkungan kampus htt  xa,"['berikut', 'bentuk', 'kekerasan', 'seksual', 'yang', 'diatur', 'dalam', 'permendikbud', 'nomor', 'tahun', 'tentang', 'ppks', 'di', 'lingkungan', 'kampus', 'htt', 'xa']","['berikut', 'bentuk', 'kekerasan', 'seksual', 'yang', 'diatur', 'dalam', 'permendikbud', 'nomor', 'tahun', 'tentang', 'ppks', 'di', 'lingkungan', 'kampus', 'htt', 'xa']",bentuk kekerasan seksual diatur permendikbud nomor ppks lingkungan kampus htt,bentuk keras seksual atur permendikbud nomor ppks lingkung kampus htt,1,
999,"b'RT @Nisanurulhs: BESOK\nAksi 16 HAKTP\n\nDukung Permendikbud Ristek PPKS,\nAmankan RUU TPKS\nSahkan RUU PPRT\n\n#16HAKTP https://t.co/GEMrCohV29'","b'rt @nisanurulhs: besok\naksi 16 haktp\n\ndukung permendikbud ristek ppks,\namankan ruu tpks\nsahkan ruu pprt\n\n#16haktp https://t.co/gemrcohv29'", besok naksi haktp ndukung permendikbud ristek ppks namankan ruu tpks nsahkan ruu pp haktp,"['besok', 'naksi', 'haktp', 'ndukung', 'permendikbud', 'ristek', 'ppks', 'namankan', 'ruu', 'tpks', 'nsahkan', 'ruu', 'pp', 'haktp']","['besok', 'naksi', 'haktp', 'ndukung', 'permendikbud', 'ristek', 'ppks', 'namankan', 'ruu', 'tpks', 'nsahkan', 'ruu', 'pp', 'haktp']",besok naksi haktp ndukung permendikbud ristek ppks namankan ruu tpks nsahkan ruu pp haktp,besok naksi haktp ndukung permendikbud ristek ppks namankan ruu tpks nsahkan ruu pp haktp,1,
5405,"b'RT @OposisiCerdas: Buntut Permendikbud PPKS, Nadiem Makarim Disomasi Ormas Pemuda\nhttps://t.co/pg10UjUEe2'","b'rt @oposisicerdas: buntut permendikbud ppks, nadiem makarim disomasi ormas pemuda\nhttps://t.co/pg10ujuee2'", buntut permendikbud ppks nadiem makarim disomasi ormas pemuda,"['buntut', 'permendikbud', 'ppks', 'nadiem', 'makarim', 'disomasi', 'ormas', 'pemuda']","['buntut', 'permendikbud', 'ppks', 'nadiem', 'makarim', 'disomasi', 'ormas', 'pemuda']",buntut permendikbud ppks nadiem makarim disomasi ormas pemuda,buntut permendikbud ppks nadiem makarim somasi ormas pemuda,1,
139,b'RT @DPP_PKB: Cak Imin Dukung Permendikbud PPKS: Kekerasan Seksual Sangat Meresahkan\n\nhttps://t.co/HwC8Q78iEN',b'rt @dpp_pkb: cak imin dukung permendikbud ppks: kekerasan seksual sangat meresahkan\n\nhttps://t.co/hwc8q78ien', cak imin dukung permendikbud ppks kekerasan seksual sangat meresahkan,"['cak', 'imin', 'dukung', 'permendikbud', 'ppks', 'kekerasan', 'seksual', 'sangat', 'meresahkan']","['cak', 'imin', 'dukung', 'permendikbud', 'ppks', 'kekerasan', 'seksual', 'sangat', 'meresahkan']",cak imin dukung permendikbud ppks kekerasan seksual meresahkan,cak imin dukung permendikbud ppks keras seksual resah,1,
4922,"b'\xe2\x80\x9cBerarti kalau korban setuju, berarti boleh?\xe2\x80\x9d mungkin itu gambaran sederhananya.\nhttps://t.co/MWIBKw59Ij'","b'\xe2\x80\x9cberarti kalau korban setuju, berarti boleh?\xe2\x80\x9d mungkin itu gambaran sederhananya.\nhttps://t.co/mwibkw59ij'", cberarti kalau korban setuju berarti boleh  mungkin itu gambaran sederhananya,"['cberarti', 'kalau', 'korban', 'setuju', 'berarti', 'boleh', 'mungkin', 'itu', 'gambaran', 'sederhananya']","['cberarti', 'kalau', 'korban', 'setuju', 'berarti', 'boleh', 'mungkin', 'itu', 'gambaran', 'sederhananya']",cberarti korban setuju gambaran sederhananya,cberarti korban tuju gambar sederhana,0,
292,b'RT @muslimahnewscom: Dari sini nampak jelas bahwa dalam Permen PPKS ini masih menyisakan PR bagi penanganan seks bebas di lingkungan Pergur\xe2\x80\xa6',b'rt @muslimahnewscom: dari sini nampak jelas bahwa dalam permen ppks ini masih menyisakan pr bagi penanganan seks bebas di lingkungan pergur\xe2\x80\xa6', dari sini nampak jelas bahwa dalam permen ppks ini masih menyisakan pr bagi penanganan seks bebas di lingkungan pergur  xa,"['dari', 'sini', 'nampak', 'jelas', 'bahwa', 'dalam', 'permen', 'ppks', 'ini', 'masih', 'menyisakan', 'pr', 'bagi', 'penanganan', 'seks', 'bebas', 'di', 'lingkungan', 'pergur', 'xa']","['dari', 'sini', 'nampak', 'jelas', 'bahwa', 'dalam', 'permen', 'ppks', 'ini', 'masih', 'menyisakan', 'pr', 'bagi', 'penanganan', 'seks', 'bebas', 'di', 'lingkungan', 'pergur', 'xa']",nampak permen ppks menyisakan pr penanganan seks bebas lingkungan pergur,nampak permen ppks sisa pr tangan seks bebas lingkung pergur,0,
945,"b'RT @eradotid: Dari sudut pandangmu, kenapa sih kasus seperti ini bisa terjadi? Bahkan melibatkan anak-anak di bawah umur.\n\nBukankah RUU PKS\xe2\x80\xa6'","b'rt @eradotid: dari sudut pandangmu, kenapa sih kasus seperti ini bisa terjadi? bahkan melibatkan anak-anak di bawah umur.\n\nbukankah ruu pks\xe2\x80\xa6'", dari sudut pandangmu kenapa sih kasus seperti ini bisa terjadi bahkan melibatkan anak anak di bawah umur nbukankah ruu pks  xa,"['dari', 'sudut', 'pandangmu', 'kenapa', 'sih', 'kasus', 'seperti', 'ini', 'bisa', 'terjadi', 'bahkan', 'melibatkan', 'anak', 'anak', 'di', 'bawah', 'umur', 'nbukankah', 'ruu', 'pks', 'xa']","['dari', 'sudut', 'pandangmu', 'kenapa', 'sih', 'kasus', 'seperti', 'ini', 'bisa', 'terjadi', 'bahkan', 'melibatkan', 'anak', 'anak', 'di', 'bawah', 'umur', 'nbukankah', 'ruu', 'pks', 'xa']",sudut pandangmu sih melibatkan anak anak umur nbukankah ruu pks,sudut pandang sih libat anak anak umur nbukankah ruu pks,0,
263,"b'RT @detikcom: Demonstrasi mahasiswa di Medan terkait Permendikbud PPKS menjadi sorotan. Pasalnya dalam unjuk rasa itu, mahasiswa menyebut P\xe2\x80\xa6'","b'rt @detikcom: demonstrasi mahasiswa di medan terkait permendikbud ppks menjadi sorotan. pasalnya dalam unjuk rasa itu, mahasiswa menyebut p\xe2\x80\xa6'", demonstrasi mahasiswa di medan terkait permendikbud ppks menjadi sorotan pasalnya dalam unjuk rasa itu mahasiswa menyebut  xa,"['demonstrasi', 'mahasiswa', 'di', 'medan', 'terkait', 'permendikbud', 'ppks', 'menjadi', 'sorotan', 'pasalnya', 'dalam', 'unjuk', 'rasa', 'itu', 'mahasiswa', 'menyebut', 'xa']","['demonstrasi', 'mahasiswa', 'di', 'medan', 'terkait', 'permendikbud', 'ppks', 'menjadi', 'sorotan', 'pasalnya', 'dalam', 'unjuk', 'rasa', 'itu', 'mahasiswa', 'menyebut', 'xa']",demonstrasi mahasiswa medan terkait permendikbud ppks sorotan pasalnya unjuk mahasiswa menyebut,demonstrasi mahasiswa medan kait permendikbud ppks sorot pasal unjuk mahasiswa sebut,1,
784,b'RT @asumsico: Di Asumsi Bersuara kali ini @rayestu berbincang dengan @tunggalp terkait aturan Permendikbudristek Nomor 30 Tahun 2021 tentan\xe2\x80\xa6',b'rt @asumsico: di asumsi bersuara kali ini @rayestu berbincang dengan @tunggalp terkait aturan permendikbudristek nomor 30 tahun 2021 tentan\xe2\x80\xa6', di asumsi bersuara kali ini berbincang dengan terkait aturan permendikbudristek nomor tahun tentan  xa,"['di', 'asumsi', 'bersuara', 'kali', 'ini', 'berbincang', 'dengan', 'terkait', 'aturan', 'permendikbudristek', 'nomor', 'tahun', 'tentan', 'xa']","['di', 'asumsi', 'bersuara', 'kali', 'ini', 'berbincang', 'dengan', 'terkait', 'aturan', 'permendikbudristek', 'nomor', 'tahun', 'tentan', 'xa']",asumsi bersuara kali berbincang terkait aturan permendikbudristek nomor tentan,asumsi suara kali bincang kait atur permendikbudristek nomor tentan,,9
5388,"b'RT @angga_fzn: Di sini siapa yang sepakat bahwa kampus adalah tempat pendidikan, bukan pelecehan? \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\n\nGue mau sedikit cerita kenapa Permen\xe2\x80\xa6'","b'rt @angga_fzn: di sini siapa yang sepakat bahwa kampus adalah tempat pendidikan, bukan pelecehan? \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\n\ngue mau sedikit cerita kenapa permen\xe2\x80\xa6'", di sini siapa yang sepakat bahwa kampus adalah tempat pendidikan bukan pelecehan xf xa xf xa xf xa ngue mau sedikit cerita kenapa permen  xa,"['di', 'sini', 'siapa', 'yang', 'sepakat', 'bahwa', 'kampus', 'adalah', 'tempat', 'pendidikan', 'bukan', 'pelecehan', 'xf', 'xa', 'xf', 'xa', 'xf', 'xa', 'ngue', 'mau', 'sedikit', 'cerita', 'kenapa', 'permen', 'xa']","['di', 'sini', 'siapa', 'yang', 'sepakat', 'bahwa', 'kampus', 'adalah', 'tempat', 'pendidikan', 'bukan', 'pelecehan', 'xf', 'xa', 'xf', 'xa', 'xf', 'xa', 'ngue', 'mau', 'sedikit', 'cerita', 'kenapa', 'permen', 'xa']",sepakat kampus pendidikan pelecehan xf xf xf ngue cerita permen,sepakat kampus didik leceh xf xf xf ngue cerita permen,,9
5397,"b'RT @identity_muslim: Gagasan liberal seksual consent yang menjadi ruh rumusan makna  kekerasan seksual dalam Permen PPKS, bukanlah hal baru\xe2\x80\xa6'","b'rt @identity_muslim: gagasan liberal seksual consent yang menjadi ruh rumusan makna  kekerasan seksual dalam permen ppks, bukanlah hal baru\xe2\x80\xa6'", gagasan liberal seksual consent yang menjadi ruh rumusan makna kekerasan seksual dalam permen ppks bukanlah hal baru  xa,"['gagasan', 'liberal', 'seksual', 'consent', 'yang', 'menjadi', 'ruh', 'rumusan', 'makna', 'kekerasan', 'seksual', 'dalam', 'permen', 'ppks', 'bukanlah', 'hal', 'baru', 'xa']","['gagasan', 'liberal', 'seksual', 'consent', 'yang', 'menjadi', 'ruh', 'rumusan', 'makna', 'kekerasan', 'seksual', 'dalam', 'permen', 'ppks', 'bukanlah', 'hal', 'baru', 'xa']",gagasan liberal seksual consent ruh rumusan makna kekerasan seksual permen ppks,gagas liberal seksual consent ruh rumus makna keras seksual permen ppks,0,
509,b'RT @cutiepaaw: GAIS ADA YANG MAU BANTU ISI KUISIONERKU TENTANG PERATURAN MENTRI  Pencegahan dan Penanganan Kekerasan Seksual (PPKS) ?mohon\xe2\x80\xa6',b'rt @cutiepaaw: gais ada yang mau bantu isi kuisionerku tentang peraturan mentri  pencegahan dan penanganan kekerasan seksual (ppks) ?mohon\xe2\x80\xa6', gais ada yang mau bantu isi kuisionerku tentang peraturan mentri pencegahan dan penanganan kekerasan seksual ppks mohon  xa,"['gais', 'ada', 'yang', 'mau', 'bantu', 'isi', 'kuisionerku', 'tentang', 'peraturan', 'mentri', 'pencegahan', 'dan', 'penanganan', 'kekerasan', 'seksual', 'ppks', 'mohon', 'xa']","['gais', 'ada', 'yang', 'mau', 'bantu', 'isi', 'kuisionerku', 'tentang', 'peraturan', 'mentri', 'pencegahan', 'dan', 'penanganan', 'kekerasan', 'seksual', 'ppks', 'mohon', 'xa']",gais bantu isi kuisionerku peraturan mentri pencegahan penanganan kekerasan seksual ppks mohon,gais bantu isi kuisionerku atur tri cegah tangan keras seksual ppks mohon,,9
774,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6',b'rt @santorinissun: gila udah berani terang2an gini!\ngubsu edi ama walkot bobby harus berani tegas!\naparat juga boleh bertindak nih.\nmasih m\xe2\x80\xa6', gila udah berani terang an gini ngubsu edi ama walkot bobby harus berani tegas naparat juga boleh bertindak nih nmasih  xa,"['gila', 'udah', 'berani', 'terang', 'an', 'gini', 'ngubsu', 'edi', 'ama', 'walkot', 'bobby', 'harus', 'berani', 'tegas', 'naparat', 'juga', 'boleh', 'bertindak', 'nih', 'nmasih', 'xa']","['gila', 'udah', 'berani', 'terang', 'an', 'gini', 'ngubsu', 'edi', 'ama', 'walkot', 'bobby', 'harus', 'berani', 'tegas', 'naparat', 'juga', 'boleh', 'bertindak', 'nih', 'nmasih', 'xa']",gila udah berani terang an gini ngubsu edi ama walkot bobby berani naparat bertindak nih nmasih,gila udah berani terang an gin ngubsu edi ama walkot bobby berani naparat tindak nih nmasih,1,
90,b'RT @HopeHelpsNet: Hadirnya Permendikbud-Ristek PPKS No. 30/2021 menunjukkan langkah progresif dari @Kemdikbud_RI @nadiemmakarim dalam hal p\xe2\x80\xa6',b'rt @hopehelpsnet: hadirnya permendikbud-ristek ppks no. 30/2021 menunjukkan langkah progresif dari @kemdikbud_ri @nadiemmakarim dalam hal p\xe2\x80\xa6', hadirnya permendikbud ristek ppks no menunjukkan langkah progresif dari dalam hal  xa,"['hadirnya', 'permendikbud', 'ristek', 'ppks', 'no', 'menunjukkan', 'langkah', 'progresif', 'dari', 'dalam', 'hal', 'xa']","['hadirnya', 'permendikbud', 'ristek', 'ppks', 'no', 'menunjukkan', 'langkah', 'progresif', 'dari', 'dalam', 'hal', 'xa']",hadirnya permendikbud ristek ppks no langkah progresif,hadir permendikbud ristek ppks no langkah progresif,1,
614,"b'RT @RatnaIntanKurn1: Hah !!!!\nPantaskah kita diamkan ???\n@mohmahfudmd\n@DivHumas_Polri\n\nMahasiswa di Medan Demo Dukung Khilafah, Tuding Perm\xe2\x80\xa6'","b'rt @ratnaintankurn1: hah !!!!\npantaskah kita diamkan ???\n@mohmahfudmd\n@divhumas_polri\n\nmahasiswa di medan demo dukung khilafah, tuding perm\xe2\x80\xa6'", hah npantaskah kita diamkan di medan demo dukung khilafah tuding perm  xa,"['hah', 'npantaskah', 'kita', 'diamkan', 'di', 'medan', 'demo', 'dukung', 'khilafah', 'tuding', 'perm', 'xa']","['hah', 'npantaskah', 'kita', 'diamkan', 'di', 'medan', 'demo', 'dukung', 'khilafah', 'tuding', 'perm', 'xa']",hah npantaskah diamkan medan demo dukung khilafah tuding perm,hah npantaskah diam medan demo dukung khilafah tuding perm,0,
