,No,Tweets,Case_Folding,Data_Cleaning,Tokenize,Normalization,Stopwords,Stemming,Label,Text,Text Tweet
10,999,"b'RT @Nisanurulhs: BESOK\nAksi 16 HAKTP\n\nDukung Permendikbud Ristek PPKS,\nAmankan RUU TPKS\nSahkan RUU PPRT\n\n#16HAKTP https://t.co/GEMrCohV29'","b'rt @nisanurulhs: besok\naksi 16 haktp\n\ndukung permendikbud ristek ppks,\namankan ruu tpks\nsahkan ruu pprt\n\n#16haktp https://t.co/gemrcohv29'", besok aksi haktp ndukung permendikbud ristek ppks namankan ruu tpks nsahkan ruu pp haktp,"['besok', 'naksi', 'haktp', 'ndukung', 'permendikbud', 'ristek', 'ppks', 'namankan', 'ruu', 'tpks', 'nsahkan', 'ruu', 'pp', 'haktp']","['besok', 'naksi', 'haktp', 'ndukung', 'permendikbud', 'ristek', 'ppks', 'namankan', 'ruu', 'tpks', 'nsahkan', 'ruu', 'pp', 'haktp']",besok naksi haktp ndukung permendikbud ristek ppks namankan ruu tpks nsahkan ruu pp haktp,besok aksi hak tp dukung permendikbud ristek ppks amankan ruu tpks sahkan ruu pp haktp,Positive,besok aksi hak tp dukung permendikbud ristek ppks amankan ruu tpks sahkan ruu pp haktp,"['besok', 'aksi', 'hak', 'dukung', 'permendikbud', 'ristek', 'ppks', 'aman', 'ruu', 'tpks', 'sahkan', 'ruu', 'pp', 'haktp']"
11,5405,"b'RT @OposisiCerdas: Buntut Permendikbud PPKS, Nadiem Makarim Disomasi Ormas Pemuda\nhttps://t.co/pg10UjUEe2'","b'rt @oposisicerdas: buntut permendikbud ppks, nadiem makarim disomasi ormas pemuda\nhttps://t.co/pg10ujuee2'", buntut permendikbud ppks nadiem makarim disomasi ormas pemuda,"['buntut', 'permendikbud', 'ppks', 'nadiem', 'makarim', 'disomasi', 'ormas', 'pemuda']","['buntut', 'permendikbud', 'ppks', 'nadiem', 'makarim', 'disomasi', 'ormas', 'pemuda']",buntut permendikbud ppks nadiem makarim disomasi ormas pemuda,buntut permendikbud ppks nadiem makarim somasi ormas pemuda,Positive,buntut permendikbud ppks nadiem makarim somasi ormas pemuda,"['buntut', 'permendikbud', 'ppks', 'nadiem', 'makarim', 'somasi', 'ormas', 'pemuda']"
12,139,b'RT @DPP_PKB: Cak Imin Dukung Permendikbud PPKS: Kekerasan Seksual Sangat Meresahkan\n\nhttps://t.co/HwC8Q78iEN',b'rt @dpp_pkb: cak imin dukung permendikbud ppks: kekerasan seksual sangat meresahkan\n\nhttps://t.co/hwc8q78ien', cak imin dukung permendikbud ppks kekerasan seksual sangat meresahkan,"['cak', 'imin', 'dukung', 'permendikbud', 'ppks', 'kekerasan', 'seksual', 'sangat', 'meresahkan']","['cak', 'imin', 'dukung', 'permendikbud', 'ppks', 'kekerasan', 'seksual', 'sangat', 'meresahkan']",cak imin dukung permendikbud ppks kekerasan seksual meresahkan,cak imin dukung permendikbud ppks keras seksual resah,Positive,cak imin dukung permendikbud ppks keras seksual resah,"['cak', 'imin', 'dukung', 'permendikbud', 'ppks', 'keras', 'seksual', 'resah']"
13,4922,"b'\xe2\x80\x9cBerarti kalau korban setuju, berarti boleh?\xe2\x80\x9d mungkin itu gambaran sederhananya.\nhttps://t.co/MWIBKw59Ij'","b'\xe2\x80\x9cberarti kalau korban setuju, berarti boleh?\xe2\x80\x9d mungkin itu gambaran sederhananya.\nhttps://t.co/mwibkw59ij'", cberarti kalau korban setuju berarti boleh  mungkin itu gambaran sederhananya,"['cberarti', 'kalau', 'korban', 'setuju', 'berarti', 'boleh', 'mungkin', 'itu', 'gambaran', 'sederhananya']","['cberarti', 'kalau', 'korban', 'setuju', 'berarti', 'boleh', 'mungkin', 'itu', 'gambaran', 'sederhananya']",cberarti korban setuju gambaran sederhananya,cberarti korban tuju gambar sederhana,Positive,cberarti korban tuju gambar sederhana,"['cberarti', 'korban', 'tuju', 'gambar', 'sederhana']"
14,292,b'RT @muslimahnewscom: Dari sini nampak jelas bahwa dalam Permen PPKS ini masih menyisakan PR bagi penanganan seks bebas di lingkungan Pergur\xe2\x80\xa6',b'rt @muslimahnewscom: dari sini nampak jelas bahwa dalam permen ppks ini masih menyisakan pr bagi penanganan seks bebas di lingkungan pergur\xe2\x80\xa6', dari sini nampak jelas bahwa dalam permen ppks ini masih menyisakan pr bagi penanganan seks bebas di lingkungan pergur  xa,"['dari', 'sini', 'nampak', 'jelas', 'bahwa', 'dalam', 'permen', 'ppks', 'ini', 'masih', 'menyisakan', 'pr', 'bagi', 'penanganan', 'seks', 'bebas', 'di', 'lingkungan', 'pergur', 'xa']","['dari', 'sini', 'nampak', 'jelas', 'bahwa', 'dalam', 'permen', 'ppks', 'ini', 'masih', 'menyisakan', 'pr', 'bagi', 'penanganan', 'seks', 'bebas', 'di', 'lingkungan', 'pergur', 'xa']",nampak permen ppks menyisakan pr penanganan seks bebas lingkungan pergur,nampak permen ppks sisa pr tangan seks bebas lingkung pergur,Negative,nampak permen ppks sisa pr tangan seks bebas lingkung pergur,"['nampak', 'permen', 'ppks', 'sisa', 'pr', 'tangan', 'seks', 'bebas', 'lingkung', 'pergur']"
15,263,"b'RT @detikcom: Demonstrasi mahasiswa di Medan terkait Permendikbud PPKS menjadi sorotan. Pasalnya dalam unjuk rasa itu, mahasiswa menyebut P\xe2\x80\xa6'","b'rt @detikcom: demonstrasi mahasiswa di medan terkait permendikbud ppks menjadi sorotan. pasalnya dalam unjuk rasa itu, mahasiswa menyebut p\xe2\x80\xa6'", demonstrasi mahasiswa di medan terkait permendikbud ppks menjadi sorotan pasalnya dalam unjuk rasa itu mahasiswa menyebut  xa,"['demonstrasi', 'mahasiswa', 'di', 'medan', 'terkait', 'permendikbud', 'ppks', 'menjadi', 'sorotan', 'pasalnya', 'dalam', 'unjuk', 'rasa', 'itu', 'mahasiswa', 'menyebut', 'xa']","['demonstrasi', 'mahasiswa', 'di', 'medan', 'terkait', 'permendikbud', 'ppks', 'menjadi', 'sorotan', 'pasalnya', 'dalam', 'unjuk', 'rasa', 'itu', 'mahasiswa', 'menyebut', 'xa']",demonstrasi mahasiswa medan terkait permendikbud ppks sorotan pasalnya unjuk mahasiswa menyebut,demonstrasi mahasiswa medan kait permendikbud ppks sorot pasal unjuk mahasiswa sebut,Negative,demonstrasi mahasiswa medan kait permendikbud ppks sorot pasal unjuk mahasiswa sebut,"['demonstrasi', 'mahasiswa', 'medan', 'kait', 'permendikbud', 'ppks', 'sorot', 'pasal', 'unjuk', 'mahasiswa']"
16,5388,"b'RT @angga_fzn: Di sini siapa yang sepakat bahwa kampus adalah tempat pendidikan, bukan pelecehan? \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\n\nGue mau sedikit cerita kenapa Permen\xe2\x80\xa6'","b'rt @angga_fzn: di sini siapa yang sepakat bahwa kampus adalah tempat pendidikan, bukan pelecehan? \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\n\ngue mau sedikit cerita kenapa permen\xe2\x80\xa6'", di sini siapa yang sepakat bahwa kampus adalah tempat pendidikan bukan pelecehan xf xa xf xa xf xa ngue mau sedikit cerita kenapa permen  xa,"['di', 'sini', 'siapa', 'yang', 'sepakat', 'bahwa', 'kampus', 'adalah', 'tempat', 'pendidikan', 'bukan', 'pelecehan', 'xf', 'xa', 'xf', 'xa', 'xf', 'xa', 'ngue', 'mau', 'sedikit', 'cerita', 'kenapa', 'permen', 'xa']","['di', 'sini', 'siapa', 'yang', 'sepakat', 'bahwa', 'kampus', 'adalah', 'tempat', 'pendidikan', 'bukan', 'pelecehan', 'xf', 'xa', 'xf', 'xa', 'xf', 'xa', 'ngue', 'mau', 'sedikit', 'cerita', 'kenapa', 'permen', 'xa']",sepakat kampus pendidikan pelecehan ngue cerita permen,sepakat kampus didik leceh ngue cerita permen,Positive,sepakat kampus didik leceh ngue cerita permen,"['sepakat', 'kampus', 'didik', 'leceh', 'ngue', 'cerita', 'permen']"
17,5397,"b'RT @identity_muslim: Gagasan liberal seksual consent yang menjadi ruh rumusan makna  kekerasan seksual dalam Permen PPKS, bukanlah hal baru\xe2\x80\xa6'","b'rt @identity_muslim: gagasan liberal seksual consent yang menjadi ruh rumusan makna  kekerasan seksual dalam permen ppks, bukanlah hal baru\xe2\x80\xa6'", gagasan liberal seksual consent yang menjadi ruh rumusan makna kekerasan seksual dalam permen ppks bukanlah hal baru  xa,"['gagasan', 'liberal', 'seksual', 'consent', 'yang', 'menjadi', 'ruh', 'rumusan', 'makna', 'kekerasan', 'seksual', 'dalam', 'permen', 'ppks', 'bukanlah', 'hal', 'baru', 'xa']","['gagasan', 'liberal', 'seksual', 'consent', 'yang', 'menjadi', 'ruh', 'rumusan', 'makna', 'kekerasan', 'seksual', 'dalam', 'permen', 'ppks', 'bukanlah', 'hal', 'baru', 'xa']",gagasan liberal seksual consent ruh rumusan makna kekerasan seksual permen ppks,gagas liberal seksual consent ruh rumus makna keras seksual permen ppks,Negative,gagas liberal seksual consent ruh rumus makna keras seksual permen ppks,"['gagas', 'liberal', 'seksual', 'consent', 'ruh', 'rumus', 'makna', 'keras', 'seksual', 'permen', 'ppks']"
18,774,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6',b'rt @santorinissun: gila udah berani terang2an gini!\ngubsu edi ama walkot bobby harus berani tegas!\naparat juga boleh bertindak nih.\nmasih m\xe2\x80\xa6', gila udah berani terang an gini ngubsu edi ama walkot bobby harus berani tegas naparat juga boleh bertindak nih nmasih  xa,"['gila', 'udah', 'berani', 'terang', 'an', 'gini', 'ngubsu', 'edi', 'ama', 'walkot', 'bobby', 'harus', 'berani', 'tegas', 'naparat', 'juga', 'boleh', 'bertindak', 'nih', 'nmasih', 'xa']","['gila', 'udah', 'berani', 'terang', 'an', 'gini', 'ngubsu', 'edi', 'ama', 'walkot', 'bobby', 'harus', 'berani', 'tegas', 'naparat', 'juga', 'boleh', 'bertindak', 'nih', 'nmasih', 'xa']",gila udah berani terang an gini ngubsu edi ama walkot bobby berani naparat bertindak nih nmasih,gila udah berani terang an gin ngubsu edi ama walkot bobby berani naparat tindak nih nmasih,Positive,gila udah berani terang an gin ngubsu edi ama walkot bobby berani naparat tindak nih nmasih,"['gila', 'berani', 'terang', 'an', 'gin', 'ngubsu', 'edi', 'walkot', 'bobby', 'berani', 'naparat', 'tindak', 'nmasih']"
19,90,b'RT @HopeHelpsNet: Hadirnya Permendikbud-Ristek PPKS No. 30/2021 menunjukkan langkah progresif dari @Kemdikbud_RI @nadiemmakarim dalam hal p\xe2\x80\xa6',b'rt @hopehelpsnet: hadirnya permendikbud-ristek ppks no. 30/2021 menunjukkan langkah progresif dari @kemdikbud_ri @nadiemmakarim dalam hal p\xe2\x80\xa6', hadirnya permendikbud ristek ppks no menunjukkan langkah progresif dari dalam hal  xa,"['hadirnya', 'permendikbud', 'ristek', 'ppks', 'no', 'menunjukkan', 'langkah', 'progresif', 'dari', 'dalam', 'hal', 'xa']","['hadirnya', 'permendikbud', 'ristek', 'ppks', 'no', 'menunjukkan', 'langkah', 'progresif', 'dari', 'dalam', 'hal', 'xa']",hadirnya permendikbud ristek ppks no langkah progresif,hadir permendikbud ristek ppks no langkah progresif,Positive,hadir permendikbud ristek ppks no langkah progresif,"['hadir', 'permendikbud', 'ristek', 'ppks', 'langkah', 'progresif']"
20,614,"b'RT @RatnaIntanKurn1: Hah !!!!\nPantaskah kita diamkan ???\n@mohmahfudmd\n@DivHumas_Polri\n\nMahasiswa di Medan Demo Dukung Khilafah, Tuding Perm\xe2\x80\xa6'","b'rt @ratnaintankurn1: hah !!!!\npantaskah kita diamkan ???\n@mohmahfudmd\n@divhumas_polri\n\nmahasiswa di medan demo dukung khilafah, tuding perm\xe2\x80\xa6'", hah npantaskah kita diamkan di medan demo dukung khilafah tuding perm  xa,"['hah', 'npantaskah', 'kita', 'diamkan', 'di', 'medan', 'demo', 'dukung', 'khilafah', 'tuding', 'perm', 'xa']","['hah', 'npantaskah', 'kita', 'diamkan', 'di', 'medan', 'demo', 'dukung', 'khilafah', 'tuding', 'perm', 'xa']",hah npantaskah diamkan medan demo dukung khilafah tuding perm,hah npantaskah diam medan demo dukung khilafah tuding perm,Negative,hah npantaskah diam medan demo dukung khilafah tuding perm,"['npantaskah', 'diam', 'medan', 'demo', 'dukung', 'khilafah', 'tuding', 'perm']"
21,933,b'RT @headlinebogor: Headline Nasional | KAMMI Tolak RUU TPKS dan Cabut Permendikbudristek PPKS -\nhttps://t.co/gfkVbXEetl\n#headlinebogor #kam\xe2\x80\xa6',b'rt @headlinebogor: headline nasional | kammi tolak ruu tpks dan cabut permendikbudristek ppks -\nhttps://t.co/gfkvbxeetl\n#headlinebogor #kam\xe2\x80\xa6', headline nasional kammi tolak ruu tpks dan cabut permendikbudristek ppks kam  xa,"['headline', 'nasional', 'kammi', 'tolak', 'ruu', 'tpks', 'dan', 'cabut', 'permendikbudristek', 'ppks', 'kam', 'xa']","['headline', 'nasional', 'kammi', 'tolak', 'ruu', 'tpks', 'dan', 'cabut', 'permendikbudristek', 'ppks', 'kam', 'xa']",headline nasional kammi tolak ruu tpks cabut permendikbudristek ppks kam,headline nasional kammi tolak ruu tpks cabut permendikbudristek ppks kam,Negative,headline nasional kammi tolak ruu tpks cabut permendikbudristek ppks kam,"['headline', 'nasional', 'kammi', 'tolak', 'ruu', 'tpks', 'cabut', 'permendikbudristek', 'ppks', 'kam']"
22,440,"b'RT @YogaAdrianyoga6: HTI dibubarkan, tapi underbow nya dibiarkan https://t.co/tB6TSkhmqD'","b'rt @yogaadrianyoga6: hti dibubarkan, tapi underbow nya dibiarkan https://t.co/tb6tskhmqd'", hti dibubarkan tapi underbow nya dibiarkan,"['hti', 'dibubarkan', 'tapi', 'underbow', 'nya', 'dibiarkan']","['hti', 'dibubarkan', 'tapi', 'underbow', 'nya', 'dibiarkan']",hti dibubarkan underbow nya dibiarkan,hti bubar underbow nya biar,Negative,hti bubar underbow nya biar,"['hti', 'bubar', 'underbow', 'biar']"
23,293,b'RT @muslimahnewscom: Islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6',b'rt @muslimahnewscom: islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6', islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan aturan yang sudah ditetapkan dalam  xa,"['islam', 'juga', 'menyiapkan', 'sejumlah', 'sanksi', 'tegas', 'dan', 'membuat', 'jera', 'bagi', 'pelanggar', 'aturan', 'aturan', 'yang', 'sudah', 'ditetapkan', 'dalam', 'xa']","['islam', 'juga', 'menyiapkan', 'sejumlah', 'sanksi', 'tegas', 'dan', 'membuat', 'jera', 'bagi', 'pelanggar', 'aturan', 'aturan', 'yang', 'sudah', 'ditetapkan', 'dalam', 'xa']",islam sanksi jera pelanggar aturan aturan ditetapkan,islam sanksi jera langgar atur atur tetap,Positive,islam sanksi jera langgar atur atur tetap,"['islam', 'sanksi', 'jera', 'langgar', 'atur', 'atur']"
